,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
98,4,1500,relu,0.25,rmsprop,-0.22088962075089302
279,16,1500,selu,0.25,sgd,-0.22118244952257993
263,16,1500,selu,0.05,sgd,-0.22119000531809724
173,8,1500,relu,0.2,adamax,-0.2211979092717132
275,16,1500,selu,0.2,sgd,-0.2212121555513194
233,8,1500,softplus,0.2,adamax,-0.221641966858296
65,2,1500,softplus,0.1,adamax,-0.22178247998900186
392,32,1500,softplus,0.2,adam,-0.2220119763415791
249,16,1500,relu,0.15,adamax,-0.22255851576536695
322,32,1500,relu,0.05,rmsprop,-0.22283544757707724
225,8,1500,softplus,0.1,adamax,-0.22295385889119462
182,8,1500,selu,0.05,rmsprop,-0.22313134676238355
277,16,1500,selu,0.25,adamax,-0.22330827765292344
156,4,1500,softplus,0.25,adam,-0.22331932334230578
148,4,1500,softplus,0.15,adam,-0.2234587689903918
150,4,1500,softplus,0.15,rmsprop,-0.22377216878814077
4,2,1500,relu,0.1,adam,-0.22412788653317872
109,4,1500,selu,0.15,adamax,-0.22412899101322944
326,32,1500,relu,0.1,rmsprop,-0.22413588909132287
68,2,1500,softplus,0.15,adam,-0.2241596240734201
226,8,1500,softplus,0.1,rmsprop,-0.22420837951839562
144,4,1500,softplus,0.1,adam,-0.22436257762696243
149,4,1500,softplus,0.15,adamax,-0.2246834424387505
37,2,1500,selu,0.25,adamax,-0.22469030636736398
316,16,1500,softplus,0.25,adam,-0.22469568316693225
246,16,1500,relu,0.1,rmsprop,-0.2247298881495694
69,2,1500,softplus,0.15,adamax,-0.2247818243310315
14,2,1500,relu,0.2,rmsprop,-0.22478507271999554
90,4,1500,relu,0.15,rmsprop,-0.22485707246549963
168,8,1500,relu,0.15,adam,-0.22501659763014795
230,8,1500,softplus,0.15,rmsprop,-0.2251263478035056
274,16,1500,selu,0.2,rmsprop,-0.22513970456212168
264,16,1500,selu,0.1,adam,-0.2251911885994921
359,32,1500,selu,0.25,sgd,-0.22531390638692295
0,2,1500,relu,0.05,adam,-0.2259636664434862
72,2,1500,softplus,0.2,adam,-0.22630437977881407
198,8,1500,selu,0.25,rmsprop,-0.22632687932972406
102,4,1500,selu,0.05,rmsprop,-0.22642641838375688
165,8,1500,relu,0.1,adamax,-0.22645580604789253
92,4,1500,relu,0.2,adam,-0.22645942093470073
186,8,1500,selu,0.1,rmsprop,-0.22682494494097116
334,32,1500,relu,0.2,rmsprop,-0.2270466489531497
257,16,1500,relu,0.25,adamax,-0.22706834990339872
7,2,1500,relu,0.1,sgd,-0.22739369578395247
74,2,1500,softplus,0.2,rmsprop,-0.22748101102821394
304,16,1500,softplus,0.1,adam,-0.22749960777467743
306,16,1500,softplus,0.1,rmsprop,-0.2275922162803628
232,8,1500,softplus,0.2,adam,-0.227700219160928
73,2,1500,softplus,0.2,adamax,-0.22777343071777773
154,4,1500,softplus,0.2,rmsprop,-0.22792565217544264
234,8,1500,softplus,0.2,rmsprop,-0.22799775596009503
381,32,1500,softplus,0.05,adamax,-0.22806034103341544
389,32,1500,softplus,0.15,adamax,-0.22871128446376765
308,16,1500,softplus,0.15,adam,-0.22878827833177937
343,32,1500,selu,0.05,sgd,-0.22960720496642983
153,4,1500,softplus,0.2,adamax,-0.22973565629544274
132,4,1500,elu,0.2,adam,-0.2297721302193227
310,16,1500,softplus,0.15,rmsprop,-0.23034103889363838
385,32,1500,softplus,0.1,adamax,-0.23057381317957684
190,8,1500,selu,0.15,rmsprop,-0.23086396789776048
396,32,1500,softplus,0.25,adam,-0.23138943686383284
355,32,1500,selu,0.2,sgd,-0.23144750567813793
78,2,1500,softplus,0.25,rmsprop,-0.23169757466094876
347,32,1500,selu,0.1,sgd,-0.23189413666440578
140,4,1500,softplus,0.05,adam,-0.23211099256387402
77,2,1500,softplus,0.25,adamax,-0.23224025363476347
76,2,1500,softplus,0.25,adam,-0.23232613623634818
16,2,1500,relu,0.25,adam,-0.23273549699576843
313,16,1500,softplus,0.2,adamax,-0.23321751727255996
390,32,1500,softplus,0.15,rmsprop,-0.23330430560809362
113,4,1500,selu,0.2,adamax,-0.2337371091719044
309,16,1500,softplus,0.15,adamax,-0.233892835919961
158,4,1500,softplus,0.25,rmsprop,-0.2341961829192448
25,2,1500,selu,0.1,adamax,-0.23424395587537492
11,2,1500,relu,0.15,sgd,-0.23488262854240188
314,16,1500,softplus,0.2,rmsprop,-0.23506130493489355
189,8,1500,selu,0.15,adamax,-0.23518908417001172
157,4,1500,softplus,0.25,adamax,-0.2352825920637429
18,2,1500,relu,0.25,rmsprop,-0.23548565608327557
351,32,1500,selu,0.15,sgd,-0.23559044214831817
329,32,1500,relu,0.15,adamax,-0.23590565268737618
238,8,1500,softplus,0.25,rmsprop,-0.23614926800474795
276,16,1500,selu,0.25,adam,-0.23647956693045902
9,2,1500,relu,0.15,adamax,-0.23683760304725326
253,16,1500,relu,0.2,adamax,-0.23709710016446367
116,4,1500,selu,0.25,adam,-0.2379128000353159
317,16,1500,softplus,0.25,adamax,-0.2379453005247208
318,16,1500,softplus,0.25,rmsprop,-0.23812424914318217
236,8,1500,softplus,0.25,adam,-0.2390037833042727
6,2,1500,relu,0.1,rmsprop,-0.23970844339952904
19,2,1500,relu,0.25,sgd,-0.23979820557380138
110,4,1500,selu,0.15,rmsprop,-0.2410307507745436
272,16,1500,selu,0.2,adam,-0.2412752917322186
393,32,1500,softplus,0.2,adamax,-0.24147040497236366
3,2,1500,relu,0.05,sgd,-0.24173797125530622
84,4,1500,relu,0.1,adam,-0.24237627193909078
398,32,1500,softplus,0.25,rmsprop,-0.24270200656649882
192,8,1500,selu,0.2,adam,-0.24335023781674392
394,32,1500,softplus,0.2,rmsprop,-0.2434297118952649
135,4,1500,elu,0.2,sgd,-0.2434708880793322
337,32,1500,relu,0.25,adamax,-0.24393729927743862
268,16,1500,selu,0.15,adam,-0.24434194032883422
114,4,1500,selu,0.2,rmsprop,-0.24437371133604568
123,4,1500,elu,0.05,sgd,-0.24456816058943115
52,2,1500,elu,0.2,adam,-0.24489886175925696
397,32,1500,softplus,0.25,adamax,-0.2450464313507707
224,8,1500,softplus,0.1,adam,-0.2457309151043447
8,2,1500,relu,0.15,adam,-0.24602863281625573
