batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
16,1500,softplus,0.15,rmsprop,-0.22683451714411804
16,1500,softplus,0.1,rmsprop,-0.2269843347999394
32,1500,relu,0.25,rmsprop,-0.22702098192470963
32,1500,softplus,0.15,rmsprop,-0.22751496318973974
8,1500,relu,0.15,adam,-0.22766084261261815
32,1500,softplus,0.1,adamax,-0.22769307107058484
4,1500,elu,0.15,adamax,-0.22780544511703796
4,1500,relu,0.15,rmsprop,-0.227953373870933
4,1500,softplus,0.1,adamax,-0.2280892031233921
2,1500,selu,0.15,adam,-0.22842793670522
32,1500,elu,0.1,sgd,-0.2287683236318035
16,1500,relu,0.25,adamax,-0.22879747251851248
8,1500,relu,0.15,rmsprop,-0.2291122833013003
4,1500,softplus,0.05,adam,-0.22928460166662418
8,1500,relu,0.2,sgd,-0.22948034043117066
2,1500,softplus,0.25,rmsprop,-0.22979553294254304
4,1500,relu,0.15,adam,-0.2298090755205318
8,1500,softplus,0.1,adam,-0.22988190429721883
4,1500,softplus,0.15,adamax,-0.22997319278726347
16,1500,softplus,0.2,rmsprop,-0.2303326437700076
16,1500,selu,0.25,adamax,-0.23047138959429272
32,1500,elu,0.2,sgd,-0.2305231487706802
2,1500,relu,0.15,sgd,-0.23062422664398208
16,1500,elu,0.1,rmsprop,-0.23118039149613678
4,1500,selu,0.1,adam,-0.23126682025686965
2,1500,selu,0.05,adam,-0.23142147572672697
32,1500,elu,0.15,sgd,-0.23142945380317628
16,1500,softplus,0.25,rmsprop,-0.23177212883153395
4,1500,relu,0.25,rmsprop,-0.23210939287078006
32,1500,softplus,0.2,adamax,-0.23226111615302175
2,1500,relu,0.2,rmsprop,-0.23239528297801532
4,1500,softplus,0.25,rmsprop,-0.2324994981043773
2,1500,relu,0.25,rmsprop,-0.23277154463394628
16,1500,softplus,0.25,adamax,-0.23306872626033753
8,1500,relu,0.25,adam,-0.23321059772292585
16,1500,relu,0.15,adam,-0.2335025265635144
16,1500,softplus,0.2,adam,-0.23354845837447882
8,1500,relu,0.2,rmsprop,-0.23367306442114588
32,1500,elu,0.25,sgd,-0.23381504334455533
4,1500,softplus,0.25,adam,-0.2339424813353136
8,1500,softplus,0.25,rmsprop,-0.23417160187001373
32,1500,softplus,0.2,rmsprop,-0.23436204089547866
2,1500,elu,0.05,adam,-0.2344110377877227
2,1500,softplus,0.25,adamax,-0.23441467772282024
32,1500,relu,0.15,rmsprop,-0.23460068069834555
2,1500,selu,0.05,rmsprop,-0.23471851350360085
2,1500,selu,0.25,adam,-0.23480335470716207
2,1500,softplus,0.25,adam,-0.23507763303623974
32,1500,elu,0.05,sgd,-0.23572034633031663
2,1500,softplus,0.1,rmsprop,-0.23587733204535133
32,1500,softplus,0.25,adamax,-0.2362137877669841
8,1500,softplus,0.2,rmsprop,-0.23651973359110706
2,1500,relu,0.1,sgd,-0.23652416837964318
4,1500,relu,0.1,adam,-0.2376921027880437
8,1500,relu,0.25,sgd,-0.23774841768824684
2,1500,elu,0.2,rmsprop,-0.23811209421760798
32,1500,softplus,0.25,rmsprop,-0.23820441001788048
2,1500,softplus,0.05,adam,-0.23853435588897265
8,1500,relu,0.2,adamax,-0.23877627625009587
4,1500,relu,0.25,adam,-0.23880570596051925
4,1500,selu,0.05,adam,-0.23897111553643213
8,1500,softplus,0.2,adam,-0.23910063524469666
2,1500,relu,0.1,adam,-0.23926349648384132
8,1500,softplus,0.25,adamax,-0.2397176779193672
8,1500,relu,0.1,rmsprop,-0.2398656143819662
8,1500,softplus,0.2,adamax,-0.24008743193035265
4,1500,softplus,0.25,adamax,-0.24014305559879112
4,1500,elu,0.05,adamax,-0.24027054084029767
4,1500,selu,0.05,rmsprop,-0.24064443571302588
4,1500,relu,0.15,adamax,-0.24087293438514285
8,1500,relu,0.2,adam,-0.24087469245565285
16,1500,elu,0.25,rmsprop,-0.24113968503214595
16,1500,softplus,0.2,adamax,-0.24141697794511408
2,1500,selu,0.1,rmsprop,-0.24166500997906498
32,1500,softplus,0.25,adam,-0.24214071989765024
16,1500,relu,0.15,sgd,-0.24236203223225478
16,1500,relu,0.25,sgd,-0.24456507171746128
16,1500,relu,0.2,sgd,-0.24482007279999166
2,1500,elu,0.2,adamax,-0.24568559947102497
2,1500,elu,0.25,adam,-0.2458498008284022
4,1500,softplus,0.1,adam,-0.24702306101935007
4,1500,relu,0.2,adamax,-0.24732018389564345
16,1500,relu,0.05,sgd,-0.247641986859501
16,1500,elu,0.05,rmsprop,-0.24835110025705004
32,1500,relu,0.2,rmsprop,-0.2485437959844588
2,1500,relu,0.2,adamax,-0.24858289278493928
2,1500,selu,0.2,rmsprop,-0.24864244624034762
32,1500,relu,0.05,sgd,-0.24924074670259488
4,1500,elu,0.25,adam,-0.2493524984501015
4,1500,selu,0.25,adam,-0.24965133462100308
2,1500,elu,0.05,rmsprop,-0.2508006863365909
2,1500,relu,0.25,adamax,-0.25117836622011613
32,1500,relu,0.25,adam,-0.25125345059780874
2,1500,softplus,0.15,adamax,-0.2513950427282052
2,1500,selu,0.25,rmsprop,-0.25190057604067
8,1500,relu,0.1,adam,-0.2524878628873437
4,1500,selu,0.2,adam,-0.2526964943990778
2,1500,relu,0.1,adamax,-0.2530581912867049
32,1500,relu,0.1,sgd,-0.2536118378852192
8,1500,relu,0.25,adamax,-0.2544073023464945
32,1500,relu,0.15,sgd,-0.25484973505733477
32,1500,relu,0.25,sgd,-0.25500456754505524
4,1500,softplus,0.05,sgd,-0.25527372640484924
4,1500,relu,0.25,adamax,-0.25530333629814445
32,1500,relu,0.2,sgd,-0.25533400500035514
4,1500,softplus,0.25,sgd,-0.2553859205881585
32,1500,selu,0.05,rmsprop,-0.2557625485478788
16,1500,relu,0.1,sgd,-0.2560156795130465
2,1500,softplus,0.15,sgd,-0.25619750713144035
2,1500,softplus,0.1,sgd,-0.25671859364235333
8,1500,softplus,0.25,sgd,-0.2567589059474791
32,1500,softplus,0.2,sgd,-0.2567842338569925
4,1500,softplus,0.2,sgd,-0.25722752844242475
16,1500,softplus,0.1,sgd,-0.25784122428043255
32,1500,softplus,0.25,sgd,-0.258044895991977
4,1500,softplus,0.1,sgd,-0.2580952543317454
16,1500,softplus,0.2,sgd,-0.2581106026654474
16,1500,relu,0.15,rmsprop,-0.25828627939150706
8,1500,softplus,0.2,sgd,-0.25831493730286503
2,1500,softplus,0.05,sgd,-0.2583457942706778
2,1500,relu,0.05,adam,-0.2585481637820064
16,1500,softplus,0.15,sgd,-0.2587135283668083
2,1500,softplus,0.2,sgd,-0.25893545639462506
2,1500,elu,0.25,adamax,-0.25894522279677906
32,1500,softplus,0.05,sgd,-0.259154350689893
2,1500,softplus,0.25,sgd,-0.25921076444532826
8,1500,softplus,0.15,sgd,-0.25925628206681706
16,1500,softplus,0.25,sgd,-0.2593143638689771
2,1500,elu,0.1,rmsprop,-0.25933619319719997
8,1500,selu,0.15,adamax,-0.2594798748276643
16,1500,softplus,0.05,sgd,-0.2601106451608653
4,1500,relu,0.1,adamax,-0.2602848022021437
8,1500,softplus,0.05,sgd,-0.260288320345393
8,1500,softplus,0.25,adam,-0.2603889788380659
4,1500,elu,0.1,rmsprop,-0.2606419190957474
32,1500,softplus,0.15,sgd,-0.2606807362096871
2,1500,relu,0.05,adamax,-0.26075560241337753
32,1500,softplus,0.1,sgd,-0.2608844963717349
4,1500,selu,0.15,adam,-0.2609272943615584
4,1500,softplus,0.15,sgd,-0.26103925501769604
2,1500,selu,0.15,rmsprop,-0.26129213002382085
2,1500,elu,0.1,adamax,-0.26191126877416737
32,1500,relu,0.05,rmsprop,-0.263769653643803
32,1500,relu,0.1,adamax,-0.2637910331469519
4,1500,elu,0.2,rmsprop,-0.2640893452422558
4,1500,elu,0.1,adamax,-0.2641406675524375
4,1500,selu,0.15,rmsprop,-0.26488530151459133
4,1500,elu,0.2,adam,-0.2656700846424363
8,1500,selu,0.15,rmsprop,-0.2658030732661196
4,1500,selu,0.2,rmsprop,-0.2658495827876488
8,1500,softplus,0.1,sgd,-0.2664458072813264
32,1500,relu,0.2,adamax,-0.2668205303146868
4,1500,selu,0.25,rmsprop,-0.26712955464233157
16,1500,relu,0.05,rmsprop,-0.2672791284196706
2,1500,relu,0.25,adam,-0.2677358798421901
4,1500,elu,0.05,rmsprop,-0.26786625629980404
2,1500,elu,0.2,adam,-0.26949776586084406
4,1500,elu,0.25,rmsprop,-0.27028279145278783
2,1500,elu,0.15,rmsprop,-0.2703646040108857
8,1500,softplus,0.05,rmsprop,-0.2704337125729368
2,1500,elu,0.15,adamax,-0.2714354782129096
32,1500,selu,0.25,rmsprop,-0.2735248633438483
8,1500,elu,0.25,rmsprop,-0.27450768265581527
2,1500,elu,0.05,adamax,-0.2748389352759564
8,1500,selu,0.25,adam,-0.27510716924733025
8,1500,elu,0.25,adam,-0.27513457425730203
2,1500,elu,0.1,adam,-0.27546000775890145
8,1500,elu,0.1,rmsprop,-0.27659338718098264
16,1500,elu,0.2,adam,-0.2766574112463142
2,1500,relu,0.1,rmsprop,-0.27806264141170567
8,1500,elu,0.2,adam,-0.2781190446545242
8,1500,selu,0.25,rmsprop,-0.2792892348501521
2,1500,elu,0.15,adam,-0.27977284992736395
16,1500,selu,0.15,adamax,-0.2799754118201665
2,1500,relu,0.05,rmsprop,-0.2801667040253819
8,1500,relu,0.05,adam,-0.28059487163813546
8,1500,selu,0.1,adam,-0.28063647863830105
32,1500,selu,0.1,adam,-0.2809113065272514
2,1500,selu,0.2,adamax,-0.28103382536117044
4,1500,relu,0.2,adam,-0.28201164966844683
2,1500,elu,0.25,rmsprop,-0.2821234157471185
8,1500,elu,0.15,rmsprop,-0.283687387002804
4,1500,elu,0.05,adam,-0.28530274899965347
16,1500,relu,0.1,rmsprop,-0.2862322247962443
2,1500,relu,0.25,sgd,-0.28698782462538386
4,1500,elu,0.1,adam,-0.2889130752057335
16,1500,relu,0.25,rmsprop,-0.2899085455232859
8,1500,selu,0.2,adam,-0.290426383810662
8,1500,elu,0.05,rmsprop,-0.2929290815676435
8,1500,selu,0.15,adam,-0.295206377530867
16,1500,relu,0.2,rmsprop,-0.29678889825073407
16,1500,softplus,0.1,adam,-0.297993916364558
8,1500,selu,0.05,rmsprop,-0.2983929089796166
8,1500,selu,0.05,adam,-0.29864680112936326
2,1500,selu,0.2,adam,-0.29913322663128805
32,1500,relu,0.25,adamax,-0.300299782100534
8,1500,relu,0.05,rmsprop,-0.30210077558506415
8,1500,elu,0.2,rmsprop,-0.30297296441417676
16,1500,relu,0.1,adam,-0.3043651130491475
2,1500,softplus,0.15,adam,-0.3052718878809639
8,1500,elu,0.15,adam,-0.3060697365312539
8,1500,elu,0.1,adam,-0.3070497734594064
