batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
32,1500,softplus,0.1,sgd,-0.2569554113896346
4,1500,elu,0.25,rmsprop,-0.2574189434835014
2,1500,softplus,0.05,sgd,-0.25752014500333265
4,1500,elu,0.05,rmsprop,-0.25767964635052343
32,1500,softplus,0.15,sgd,-0.2577502630607372
32,1500,softplus,0.25,sgd,-0.25794654620816
4,1500,softplus,0.05,sgd,-0.2580098072054048
16,1500,softplus,0.1,sgd,-0.25807729453068456
8,1500,softplus,0.25,sgd,-0.25852042699069044
4,1500,relu,0.15,adamax,-0.2587277250354085
8,1500,softplus,0.05,sgd,-0.2587416651873662
4,1500,selu,0.1,adam,-0.25877954540937803
32,1500,relu,0.2,sgd,-0.25879744377766106
2,1500,softplus,0.25,sgd,-0.25913332417066876
16,1500,softplus,0.05,sgd,-0.25971690448553225
4,1500,elu,0.15,rmsprop,-0.25981137041400904
8,1500,relu,0.1,adam,-0.26016918196952676
4,1500,softplus,0.2,sgd,-0.26055077234746477
8,1500,softplus,0.2,sgd,-0.2606056092727952
16,1500,softplus,0.25,sgd,-0.2606102812528109
32,1500,softplus,0.05,sgd,-0.26113704968903423
2,1500,selu,0.15,adamax,-0.26175782316013774
16,1500,softplus,0.2,sgd,-0.2617763659444745
2,1500,softplus,0.2,sgd,-0.26189819621466526
8,1500,softplus,0.1,sgd,-0.2623173805564279
32,1500,selu,0.25,rmsprop,-0.26250506836077325
32,1500,softplus,0.2,sgd,-0.2632725763328
2,1500,softplus,0.1,sgd,-0.2633012917550401
4,1500,selu,0.15,rmsprop,-0.2633735064502235
4,1500,softplus,0.1,sgd,-0.26356833884467895
4,1500,softplus,0.15,sgd,-0.2637627241899568
8,1500,relu,0.15,rmsprop,-0.2639028609990418
32,1500,relu,0.1,rmsprop,-0.26422942268796956
2,1500,elu,0.15,adam,-0.2646268583483168
4,1500,softplus,0.25,sgd,-0.26485672226486157
8,1500,softplus,0.15,sgd,-0.2648999711891055
32,1500,relu,0.15,adamax,-0.26555411083790603
4,1500,elu,0.2,rmsprop,-0.26630777157733204
4,1500,relu,0.25,adam,-0.26638597870211994
4,1500,softplus,0.05,adam,-0.27112274377633405
8,1500,elu,0.2,adam,-0.2720093641863482
4,1500,selu,0.05,rmsprop,-0.2724002416903449
4,1500,elu,0.1,adam,-0.2725651718233899
8,1500,relu,0.05,adam,-0.2726855418990931
2,1500,relu,0.2,adamax,-0.27290145520116804
32,1500,relu,0.15,rmsprop,-0.27390369228332256
8,1500,elu,0.25,adam,-0.2747209819983304
2,1500,elu,0.15,rmsprop,-0.27527042001990143
16,1500,relu,0.05,adam,-0.2755142716347006
16,1500,relu,0.1,rmsprop,-0.27633331041988846
8,1500,elu,0.1,rmsprop,-0.27648640971822935
4,1500,elu,0.1,rmsprop,-0.2767584699151852
8,1500,selu,0.05,adam,-0.27952383836079414
