,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
363,32,1500,elu,0.05,sgd,-0.2596766337511766
323,32,1500,relu,0.05,sgd,-0.2597261742833667
375,32,1500,elu,0.2,sgd,-0.2597726125452776
339,32,1500,relu,0.25,sgd,-0.2597891365846327
223,8,1500,softplus,0.05,sgd,-0.25986346217281603
327,32,1500,relu,0.1,sgd,-0.25994745633352473
367,32,1500,elu,0.1,sgd,-0.2599755235386233
307,16,1500,softplus,0.1,sgd,-0.2600740405188656
203,8,1500,elu,0.05,sgd,-0.2602461644104582
242,16,1500,relu,0.05,rmsprop,-0.26031668374193273
331,32,1500,relu,0.15,sgd,-0.26033496069591255
371,32,1500,elu,0.15,sgd,-0.2604624659796593
291,16,1500,elu,0.15,sgd,-0.26054008248938965
243,16,1500,relu,0.05,sgd,-0.2608320450303574
311,16,1500,softplus,0.15,sgd,-0.26086081135040506
215,8,1500,elu,0.2,sgd,-0.26113282451504555
247,16,1500,relu,0.1,sgd,-0.2612865211895782
391,32,1500,softplus,0.15,sgd,-0.2620840279722313
395,32,1500,softplus,0.2,sgd,-0.2627493612257299
75,2,1500,softplus,0.2,sgd,-0.26314157323286175
118,4,1500,selu,0.25,rmsprop,-0.2649980577489203
36,2,1500,selu,0.25,adam,-0.2670833849340228
144,4,1500,softplus,0.1,adam,-0.26994654465720613
21,2,1500,selu,0.05,adamax,-0.2713778646799705
37,2,1500,selu,0.25,adamax,-0.2721700318116915
34,2,1500,selu,0.2,rmsprop,-0.273196326184603
26,2,1500,selu,0.1,rmsprop,-0.2741005343294719
52,2,1500,elu,0.2,adam,-0.27466667985396576
40,2,1500,elu,0.05,adam,-0.27543097708145137
220,8,1500,softplus,0.05,adam,-0.27711948244759166
325,32,1500,relu,0.1,adamax,-0.2800171275275776
168,8,1500,relu,0.15,adam,-0.28192220625146813
20,2,1500,selu,0.05,adam,-0.2819495245599344
329,32,1500,relu,0.15,adamax,-0.28542908790859645
188,8,1500,selu,0.15,adam,-0.2916938146290393
24,2,1500,selu,0.1,adam,-0.2943051093199041
176,8,1500,relu,0.25,adam,-0.29897792184741007
264,16,1500,selu,0.1,adam,-0.30180660628997147
102,4,1500,selu,0.05,rmsprop,-0.30405853193853427
0,2,1500,relu,0.05,adam,-0.3147137928258094
249,16,1500,relu,0.15,adamax,-0.3151326439681587
256,16,1500,relu,0.25,adam,-0.3200639389728037
112,4,1500,selu,0.2,adam,-0.3300382210025026
108,4,1500,selu,0.15,adam,-0.3309234009574849
192,8,1500,selu,0.2,adam,-0.3328915044567875
328,32,1500,relu,0.15,adam,-0.3495487995711864
104,4,1500,selu,0.1,adam,-0.38590546828675076
196,8,1500,selu,0.25,adam,-0.388568888894236
164,8,1500,relu,0.1,adam,-0.39728106755425024
84,4,1500,relu,0.1,adam,-0.4135558728862654
321,32,1500,relu,0.05,adamax,-0.41655710474383195
32,2,1500,selu,0.2,adam,-0.4218521780707325
160,8,1500,relu,0.05,adam,-0.48335262772795873
161,8,1500,relu,0.05,adamax,-0.5126205144978765
244,16,1500,relu,0.1,adam,-0.5187571219093396
241,16,1500,relu,0.05,adamax,-0.5747311246602211
336,32,1500,relu,0.25,adam,-0.618554680708698
252,16,1500,relu,0.2,adam,-0.6794715012657151
81,4,1500,relu,0.05,adamax,-0.6865478249095228
332,32,1500,relu,0.2,adam,-0.7695151221952742
324,32,1500,relu,0.1,adam,-0.7889190605864652
248,16,1500,relu,0.15,adam,-0.8059251862461055
240,16,1500,relu,0.05,adam,-0.8477846360615624
320,32,1500,relu,0.05,adam,-1.4444135738534987
